Sine,Cosine,Square,Trianglular,RampSignal
0,1,0,0,0
0.010471784,0.999945169,1,0.001501502,0.000500167
0.02094242,0.999780683,1,0.003003003,0.001000333
0.031410759,0.99950656,1,0.004504505,0.0015005
0.041875654,0.99912283,1,0.006006006,0.002000667
0.052335956,0.998629535,1,0.007507508,0.002500834
0.06279052,0.998026728,1,0.009009009,0.003001
0.073238197,0.997314477,1,0.010510511,0.003501167
0.083677843,0.996492859,1,0.012012012,0.004001334
0.094108313,0.995561965,1,0.013513514,0.004501501
0.104528463,0.994521895,1,0.015015015,0.005001667
0.11493715,0.993372766,1,0.016516517,0.005501834
0.125333234,0.992114701,1,0.018018018,0.006002001
0.135715572,0.99074784,1,0.01951952,0.006502167
0.146083029,0.989272333,1,0.021021021,0.007002334
0.156434465,0.987688341,1,0.022522523,0.007502501
0.166768747,0.985996037,1,0.024024024,0.008002668
0.17708474,0.984195608,1,0.025525526,0.008502834
0.187381315,0.982287251,1,0.027027027,0.009003001
0.19765734,0.980271175,1,0.028528529,0.009503168
0.207911691,0.978147601,1,0.03003003,0.010003334
0.218143241,0.975916762,1,0.031531532,0.010503501
0.22835087,0.973578903,1,0.033033033,0.011003668
0.238533458,0.97113428,1,0.034534535,0.011503835
0.248689887,0.968583161,1,0.036036036,0.012004001
0.258819045,0.965925826,1,0.037537538,0.012504168
0.268919821,0.963162567,1,0.039039039,0.013004335
0.278991106,0.960293686,1,0.040540541,0.013504502
0.289031797,0.957319498,1,0.042042042,0.014004668
0.299040792,0.954240329,1,0.043543544,0.014504835
0.309016994,0.951056516,1,0.045045045,0.015005002
0.318959309,0.94776841,1,0.046546547,0.015505168
0.328866647,0.94437637,1,0.048048048,0.016005335
0.33873792,0.940880769,1,0.04954955,0.016505502
0.348572047,0.937281989,1,0.051051051,0.017005669
0.35836795,0.933580426,1,0.052552553,0.017505835
0.368124553,0.929776486,1,0.054054054,0.018006002
0.377840787,0.925870585,1,0.055555556,0.018506169
0.387515586,0.921863152,1,0.057057057,0.019006335
0.397147891,0.917754626,1,0.058558559,0.019506502
0.406736643,0.913545458,1,0.06006006,0.020006669
0.416280792,0.909236109,1,0.061561562,0.020506836
0.425779292,0.904827052,1,0.063063063,0.021007002
0.435231099,0.900318771,1,0.064564565,0.021507169
0.444635179,0.89571176,1,0.066066066,0.022007336
0.4539905,0.891006524,1,0.067567568,0.022507503
0.463296035,0.886203579,1,0.069069069,0.023007669
0.472550765,0.881303452,1,0.070570571,0.023507836
0.481753674,0.87630668,1,0.072072072,0.024008003
0.490903754,0.871213811,1,0.073573574,0.024508169
0.5,0.866025404,1,0.075075075,0.025008336
0.509041416,0.860742027,1,0.076576577,0.025508503
0.518027009,0.85536426,1,0.078078078,0.02600867
0.526955795,0.849892693,1,0.07957958,0.026508836
0.535826795,0.844327926,1,0.081081081,0.027009003
0.544639035,0.838670568,1,0.082582583,0.02750917
0.553391549,0.832921241,1,0.084084084,0.028009336
0.562083378,0.827080574,1,0.085585586,0.028509503
0.570713568,0.821149209,1,0.087087087,0.02900967
0.579281172,0.815127796,1,0.088588589,0.029509837
0.587785252,0.809016994,1,0.09009009,0.030010003
0.596224875,0.802817475,1,0.091591592,0.03051017
0.604599115,0.796529918,1,0.093093093,0.031010337
0.612907054,0.790155012,1,0.094594595,0.031510504
0.62114778,0.783693457,1,0.096096096,0.03201067
0.629320391,0.777145961,1,0.097597598,0.032510837
0.63742399,0.770513243,1,0.099099099,0.033011004
0.645457688,0.763796029,1,0.100600601,0.03351117
0.653420604,0.756995056,1,0.102102102,0.034011337
0.661311865,0.75011107,1,0.103603604,0.034511504
0.669130606,0.743144825,1,0.105105105,0.035011671
0.67687597,0.736097087,1,0.106606607,0.035511837
0.684547106,0.728968627,1,0.108108108,0.036012004
0.692143174,0.721760228,1,0.10960961,0.036512171
0.699663341,0.71447268,1,0.111111111,0.037012337
0.707106781,0.707106781,1,0.112612613,0.037512504
0.71447268,0.699663341,1,0.114114114,0.038012671
0.721760228,0.692143174,1,0.115615616,0.038512838
0.728968627,0.684547106,1,0.117117117,0.039013004
0.736097087,0.67687597,1,0.118618619,0.039513171
0.743144825,0.669130606,1,0.12012012,0.040013338
0.75011107,0.661311865,1,0.121621622,0.040513505
0.756995056,0.653420604,1,0.123123123,0.041013671
0.763796029,0.645457688,1,0.124624625,0.041513838
0.770513243,0.63742399,1,0.126126126,0.042014005
0.777145961,0.629320391,1,0.127627628,0.042514171
0.783693457,0.62114778,1,0.129129129,0.043014338
0.790155012,0.612907054,1,0.130630631,0.043514505
0.796529918,0.604599115,1,0.132132132,0.044014672
0.802817475,0.596224875,1,0.133633634,0.044514838
0.809016994,0.587785252,1,0.135135135,0.045015005
0.815127796,0.579281172,1,0.136636637,0.045515172
0.821149209,0.570713568,1,0.138138138,0.046015338
0.827080574,0.562083378,1,0.13963964,0.046515505
0.832921241,0.553391549,1,0.141141141,0.047015672
0.838670568,0.544639035,1,0.142642643,0.047515839
0.844327926,0.535826795,1,0.144144144,0.048016005
0.849892693,0.526955795,1,0.145645646,0.048516172
0.85536426,0.518027009,1,0.147147147,0.049016339
0.860742027,0.509041416,1,0.148648649,0.049516506
0.866025404,0.5,1,0.15015015,0.050016672
0.871213811,0.490903754,1,0.151651652,0.050516839
0.87630668,0.481753674,1,0.153153153,0.051017006
0.881303452,0.472550765,1,0.154654655,0.051517172
0.886203579,0.463296035,1,0.156156156,0.052017339
0.891006524,0.4539905,1,0.157657658,0.052517506
0.89571176,0.444635179,1,0.159159159,0.053017673
0.900318771,0.435231099,1,0.160660661,0.053517839
0.904827052,0.425779292,1,0.162162162,0.054018006
0.909236109,0.416280792,1,0.163663664,0.054518173
0.913545458,0.406736643,1,0.165165165,0.055018339
0.917754626,0.397147891,1,0.166666667,0.055518506
0.921863152,0.387515586,1,0.168168168,0.056018673
0.925870585,0.377840787,1,0.16966967,0.05651884
0.929776486,0.368124553,1,0.171171171,0.057019006
0.933580426,0.35836795,1,0.172672673,0.057519173
0.937281989,0.348572047,1,0.174174174,0.05801934
0.940880769,0.33873792,1,0.175675676,0.058519507
0.94437637,0.328866647,1,0.177177177,0.059019673
0.94776841,0.318959309,1,0.178678679,0.05951984
0.951056516,0.309016994,1,0.18018018,0.060020007
0.954240329,0.299040792,1,0.181681682,0.060520173
0.957319498,0.289031797,1,0.183183183,0.06102034
0.960293686,0.278991106,1,0.184684685,0.061520507
0.963162567,0.268919821,1,0.186186186,0.062020674
0.965925826,0.258819045,1,0.187687688,0.06252084
0.968583161,0.248689887,1,0.189189189,0.063021007
0.97113428,0.238533458,1,0.190690691,0.063521174
0.973578903,0.22835087,1,0.192192192,0.06402134
0.975916762,0.218143241,1,0.193693694,0.064521507
0.978147601,0.207911691,1,0.195195195,0.065021674
0.980271175,0.19765734,1,0.196696697,0.065521841
0.982287251,0.187381315,1,0.198198198,0.066022007
0.984195608,0.17708474,1,0.1996997,0.066522174
0.985996037,0.166768747,1,0.201201201,0.067022341
0.987688341,0.156434465,1,0.202702703,0.067522508
0.989272333,0.146083029,1,0.204204204,0.068022674
0.99074784,0.135715572,1,0.205705706,0.068522841
0.992114701,0.125333234,1,0.207207207,0.069023008
0.993372766,0.11493715,1,0.208708709,0.069523174
0.994521895,0.104528463,1,0.21021021,0.070023341
0.995561965,0.094108313,1,0.211711712,0.070523508
0.996492859,0.083677843,1,0.213213213,0.071023675
0.997314477,0.073238197,1,0.214714715,0.071523841
0.998026728,0.06279052,1,0.216216216,0.072024008
0.998629535,0.052335956,1,0.217717718,0.072524175
0.99912283,0.041875654,1,0.219219219,0.073024341
0.99950656,0.031410759,1,0.220720721,0.073524508
0.999780683,0.02094242,1,0.222222222,0.074024675
0.999945169,0.010471784,1,0.223723724,0.074524842
1,2.83E-16,1,0.225225225,0.075025008
0.999945169,-0.010471784,1,0.226726727,0.075525175
0.999780683,-0.02094242,1,0.228228228,0.076025342
0.99950656,-0.031410759,1,0.22972973,0.076525509
0.99912283,-0.041875654,1,0.231231231,0.077025675
0.998629535,-0.052335956,1,0.232732733,0.077525842
0.998026728,-0.06279052,1,0.234234234,0.078026009
0.997314477,-0.073238197,1,0.235735736,0.078526175
0.996492859,-0.083677843,1,0.237237237,0.079026342
0.995561965,-0.094108313,1,0.238738739,0.079526509
0.994521895,-0.104528463,1,0.24024024,0.080026676
0.993372766,-0.11493715,1,0.241741742,0.080526842
0.992114701,-0.125333234,1,0.243243243,0.081027009
0.99074784,-0.135715572,1,0.244744745,0.081527176
0.989272333,-0.146083029,1,0.246246246,0.082027342
0.987688341,-0.156434465,1,0.247747748,0.082527509
0.985996037,-0.166768747,1,0.249249249,0.083027676
0.984195608,-0.17708474,1,0.250750751,0.083527843
0.982287251,-0.187381315,1,0.252252252,0.084028009
0.980271175,-0.19765734,1,0.253753754,0.084528176
0.978147601,-0.207911691,1,0.255255255,0.085028343
0.975916762,-0.218143241,1,0.256756757,0.08552851
